iter	Passed	Remaining
0	142	14085
1	145	7122
2	148	4791
3	150	3612
4	153	2919
5	156	2455
6	159	2123
7	163	1877
8	166	1688
9	170	1534
10	174	1408
11	177	1302
12	183	1225
13	186	1146
14	191	1083
15	195	1027
16	199	974
17	202	924
18	206	880
19	210	842
20	214	808
21	218	776
22	223	748
23	227	721
24	232	697
25	237	675
26	241	653
27	246	633
28	251	615
29	256	598
30	261	582
31	266	566
32	271	551
33	276	536
34	281	522
35	286	509
36	290	495
37	294	480
38	299	468
39	303	455
40	308	443
41	310	428
42	314	417
43	320	407
44	324	396
45	330	387
46	335	378
47	339	368
48	344	359
49	349	349
50	354	340
51	358	331
52	363	322
53	368	313
54	371	303
55	375	295
56	380	287
57	384	278
58	390	271
59	397	264
60	404	258
61	410	251
62	415	244
63	421	236
64	426	229
65	431	222
66	436	214
67	441	207
68	445	200
69	449	192
70	454	185
71	459	178
72	464	171
73	469	164
74	473	157
75	478	151
76	483	144
77	487	137
78	495	131
79	500	125
80	504	118
81	509	111
82	513	105
83	518	98
84	526	92
85	532	86
86	540	80
87	547	74
88	557	68
89	564	62
90	570	56
91	578	50
92	587	44
93	594	37
94	600	31
95	606	25
96	613	18
97	618	12
98	624	6
99	631	0
